A	0	1	1	0	1	1	0	0
B	0	1	0	1	1	1	1	1
C	1	1	0	0	0	1	0	1
D	1	1	1	1	0	1	1	0
E	1	1	1	1	1	0	0	0
F	1	1	0	0	1	0	1	1
G	1	0	0	0	1	1	0	0
H	1	0	1	1	1	1	1	1
I	0	0	1	0	0	1	0	1
J	0	0	0	1	0	1	1	0
K	0	1	0	1	0	0	0	1
L	0	1	1	0	0	0	1	0
M	1	0	1	1	0	0	0	1
N	1	0	0	0	0	0	1	0
O	0	0	0	1	1	0	0	0
P	0	0	1	0	1	0	1	1
AR	1	1	0	0	0	1	1	0
BR	1	1	1	1	0	1	0	1
CR	0	1	0	1	1	1	0	0
DR	0	1	1	0	1	1	1	1
ER	1	0	0	0	1	1	1	1
FR	1	0	1	1	1	1	0	0
GR	1	1	0	0	1	0	0	0
HR	1	1	1	1	1	0	1	1
IR	0	1	0	1	0	0	1	0
JR	0	1	1	0	0	0	0	1
KR	0	0	0	1	0	1	0	1
LR	0	0	1	0	0	1	1	0
MR	0	0	0	1	1	0	1	1
NR	0	0	1	0	1	0	0	0
OR	1	0	0	0	0	0	0	1
PR	1	0	1	1	0	0	1	0
